shader,SKY1,Light_Directional_use_implicit_lighting,PLANARMAP0AXIS,PLANARMAP1AXIS,PLANARMAP2AXIS,SPECULARMODE,SWITCH_ALPHATEST,SWITCH_BILLBOARD,SWITCH_BILLBOARDY,SWITCH_BILLBOARDY_PAT,SWITCH_BILLBOARDY_PAT_S,SWITCH_CHRLIGHT,SWITCH_CRYSTAL,SWITCH_DEPTHALPHA,SWITCH_DIFFUSEMAP0,SWITCH_DIFFUSEMAP1,SWITCH_DIFFUSEMAP1EDGEALPHA,SWITCH_DIFFUSEMAP2,SWITCH_DIFFUSEMAPCOLOR0,SWITCH_DIFFUSEMAPCOLOR1,SWITCH_DIFFUSEMAPCOLOR2,SWITCH_DISSOLVE,SWITCH_DITHERDISABLE,SWITCH_DOUBLESIDE,SWITCH_DUDVENABLE0,SWITCH_DUDVENABLE1,SWITCH_DUDVENABLE2,SWITCH_DUDVMAP,SWITCH_EDGEBIAS_TEX0_ALPHA,SWITCH_ENVMAP0,SWITCH_FAKE_SPECULAR,SWITCH_GEOMETRYMORPH,SWITCH_GLOW,SWITCH_GLOWMAP0,SWITCH_GLOWMAP0EDGEALPHA,SWITCH_GLOWMAP1,SWITCH_GLOWMAP_FOGINT,SWITCH_GRENDEL,SWITCH_HEIGHTMAPBLEND,SWITCH_HIGHLIGHT,SWITCH_LOD,SWITCH_MASKMAP0,SWITCH_MASKMAP1,SWITCH_MASKMAP2,SWITCH_METAL,SWITCH_NEARFADE,SWITCH_NOLIGHT,SWITCH_NORMALMAP0,SWITCH_NORMALMAP1,SWITCH_NORMALMAP2,SWITCH_OUTLINE,SWITCH_PARALLAXMAP0,SWITCH_PARALLAXMAP1,SWITCH_PARALLAXMAP2,SWITCH_PLANARMAP0,SWITCH_PLANARMAP0_ROTATE,SWITCH_PLANARMAP1,SWITCH_PLANARMAP1_ROTATE,SWITCH_PLANARMAP1_SINGLESIDE,SWITCH_PLANARMAP2,SWITCH_PLANARMAP2_SINGLESIDE,SWITCH_PLANTGROW,SWITCH_PRE_TRANSPARENT,SWITCH_RAYMARCH_SHADOW,SWITCH_REFRACTION,SWITCH_RIMALPHA,SWITCH_SCALE_UV_SYNC0,SWITCH_SCALE_UV_SYNC1,SWITCH_SCALE_UV_SYNC2,SWITCH_SHADOWONLY,SWITCH_SHADOWRECEIVE,SWITCH_SHAKING,SWITCH_SHAKINGVCOLOR,SWITCH_SPECULAR_PITCH_ADJUST,SWITCH_SPHEREMAP,SWITCH_SSR,SWITCH_TONEMAPPING,SWITCH_TOONMAP,SWITCH_TOONMASK,SWITCH_TRANSLUCENTMAP,SWITCH_VERTEXCOLOR,SWITCH_VERTEXCOLOR0,SWITCH_VERTEXCOLOR1,SWITCH_ZPREPASS,Switch_AlphaTest,Switch_Billboard,Switch_BillboardY,Switch_BillboardY_Pat,Switch_BillboardY_Pat_S,Switch_ChrLight,Switch_Crystal,Switch_DUDVEnable0,Switch_DUDVEnable1,Switch_DUDVEnable2,Switch_DUDVMap,Switch_DepthAlpha,Switch_DiffuseMap0,Switch_DiffuseMap1,Switch_DiffuseMap1EdgeAlpha,Switch_DiffuseMap2,Switch_DiffuseMap2EdgeAlpha,Switch_DiffuseMapColor0,Switch_DiffuseMapColor1,Switch_DiffuseMapColor2,Switch_Dissolve,Switch_DitherDisable,Switch_DitherTransparent,Switch_DoubleSide,Switch_EdgeBias_Tex0_Alpha,Switch_EnvMap0,Switch_Fake_Specular,Switch_GeometryMorph,Switch_Glow,Switch_GlowMap0,Switch_GlowMap0EdgeAlpha,Switch_GlowMap1,Switch_GlowMap1EdgeAlpha,Switch_GlowMap_FogInt,Switch_Grendel,Switch_HeightMapBlend,Switch_HighLight,Switch_InteriorMap,Switch_Lod,Switch_MaskMap0,Switch_MaskMap1,Switch_MaskMap2,Switch_Metal,Switch_Mirror,Switch_NearFade,Switch_NoLight,Switch_NormalMap0,Switch_NormalMap1,Switch_NormalMap2,Switch_Outline,Switch_ParallaxMap0,Switch_ParallaxMap1,Switch_ParallaxMap2,Switch_PlanarMap0,Switch_PlanarMap0_Rotate,Switch_PlanarMap1,Switch_PlanarMap1_Rotate,Switch_PlanarMap1_SingleSide,Switch_PlanarMap2,Switch_PlanarMap2_Rotate,Switch_PlanarMap2_SingleSide,Switch_PlantGrow,Switch_Pre_Transparent,Switch_RayMarch_Shadow,Switch_Refraction,Switch_RimAlpha,Switch_SSR,Switch_Scale_UV_Sync0,Switch_Scale_UV_Sync1,Switch_Scale_UV_Sync2,Switch_ShadowOnly,Switch_ShadowReceive,Switch_Shaking,Switch_ShakingVColor,Switch_ShardSearch,Switch_Specular_Pitch_Adjust,Switch_SphereMap,Switch_ToneMapping,Switch_ToonMap,Switch_ToonMask,Switch_TranslucentMap,Switch_VertexColor,Switch_VertexColor0,Switch_VertexColor1,Switch_WaterMulti,Switch_ZPrePass,TEX1BLENDMODE,TEX2BLENDMODE,TEX4BLENDMODE,frozen,isShadowEnable_g,isSwatchRender_g,lightEnable_g,postTransparent_g
chr_cloth#286b4f4510116fe8,chr5007_c03.mdl,1,,,,1,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,-1,,,,,,,0,,,,,,0,,,,,,1,0,,0,,,,,,,0,0,,,,,0,0,,0,,,0,,,,,1,0,,0,,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,1,,,0,,,,,0,0,,0,0,,0,
chr_cloth#2916c5b3795263be,chr5007_c08.mdl,1,,,,1,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,-1,,,,-1,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,-1,,,,,,,0,,,,,,0,,,,,,1,0,,0,,,,,,,0,0,,,,,0,0,,0,,,1,,,,,1,0,,0,,0,,1,0,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,1,,,0,,,,,0,0,,0,0,,0,
chr_cloth#2ccc5bdcc6a48eb1,ef_obj_m011.mdl,1,,,,1,,,,,,,,,-1,,,,,,,,,,,,,,,,,,-1,-1,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,0,,,,,,0,,,,,,1,0,,0,,,,,,,0,0,,,,,1,1,,0,,,1,,,,,0,0,,0,,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,0,,,0,,,,,1,0,,0,0,,0,
chr_cloth#2deb5cf072b17511,chr0110.mdl,1,,,,1,,,,,,,,,-1,,,,,,,,,-1,,,,,-1,,,,,,,,,,,,,-1,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,-1,,,,,,,0,,,,,,0,,,,,,1,0,,0,,,,,,,,1,1,,,,0,0,,0,,,,,,,0,1,0,,1,,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,1,0,,0,,,,,0,0,,0,0,0,0,
chr_cloth#2e8c5046ec8b12ff,chr9999.mdl,1,,,,0,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,-1,,,,,,,0,,,,,,0,,,,,,1,0,,0,,,,,,,,0,,,,,0,0,,0,,,,,,,,0,0,,0,,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,1,0,,0,,,,,0,0,,0,0,0,0,
chr_cloth#30c600bb264917ac,ef_obj_a070.mdl,1,,,,1,,,,,,,,,-1,,,,,,,,,-1,,,,,,,,,,,,,,-1,,,,-1,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,-1,,,,,,,0,,,,,,0,,,,,,1,0,,0,,,,,,,0,1,,,,,0,0,,0,,,1,,,,,1,0,,0,,0,,1,0,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,1,,,0,,,,,0,0,,0,0,,0,
chr_cloth#33c952f4581366bf,chr5001_c55.mdl,1,,,,1,-1,,,,,,,,-1,,,,,,,,,-1,,,,,,,,,,,,,,,,,,-1,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,-1,,,,,,,1,,,,,,0,,,,,,1,0,,0,,,,,,,0,1,,,,,0,0,,0,,,0,,,,,1,0,,0,,0,,1,0,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,1,,,0,,,,,0,0,,0,0,,0,
chr_cloth#33ff3581583de3dc,etc0002.mdl,1,,,,0,,,,,,,,,-1,,,,,,,,,-1,,,,,-1,,,,,,,,,,,,,-1,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,-1,,,,,,,0,,,,,,0,,,,,,1,0,,0,,,,,,,,1,1,,,,0,0,,0,,,,,,,,1,0,,0,,0,,1,0,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,1,0,,0,,,,,0,0,,0,0,0,0,
chr_cloth#3636fcbc3f3d94da,chr0327.mdl,1,,,,1,,,,,,,,,-1,,,,,,,,,-1,,,,,,,,,,,,,,,,,,-1,,,-1,,,-1,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,-1,-1,,,,,,0,,,,,,0,,,,,,1,0,,0,,,,,,,,1,0,,,,0,0,,0,,,,,,,0,1,0,,1,,0,,1,0,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,1,1,,0,,,,,0,0,,0,0,0,0,
chr_cloth#36cdb919a6f05142,equ8006.mdl,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,0,,0,,,,,,,,0,1,,,,0,0,,0,,,,,,,0,0,0,,0,,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,0,0,,0,,,,,0,0,,0,0,0,0,
chr_cloth#3a2b18d4c9b228d7,ob_e00_000b.mdl,1,,,,1,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,0,,,,,,0,,,,,,1,0,,0,,,,,,,,0,0,,,,0,0,,0,,,,,,,0,1,0,,0,,0,,1,0,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,0,0,,0,,,,,0,0,,0,0,0,0,
chr_cloth#3af2731c535c9236,chr0001_c62.mdl,1,,,,2,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,-1,,,-1,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,-1,-1,,,,,,0,,,,,,0,,,,,,1,0,,0,,,,,,,,0,0,,,,0,0,,0,,,,,,,0,1,0,,1,,0,,1,0,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,1,1,,0,,,,,0,0,,0,0,0,0,
chr_cloth#3b540bc1dd812b83,chr0001_c51.mdl,1,,,,1,,,,,,,,,-1,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,-1,,,-1,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,-1,-1,,,,,,0,,,,,,0,,,,,,1,0,,0,,,,,,,,1,0,,,,0,0,,0,,,,,,,0,0,0,,1,,0,,1,0,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,1,1,,0,,,,,0,0,,0,0,0,0,
chr_cloth#3d37608583dc0553,ef_obj_a337.mdl,1,,,,1,,,,,,,,,-1,,,,,,,,,,,,,,,,,,-1,,,,,,,,,-1,,,-1,,,-1,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,-1,,,,,,,0,,,,,,0,,,,,,1,0,,0,,,,,,,,0,0,,,,1,0,,0,,,,,,,,1,0,,1,,0,,1,0,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,1,0,,0,,,,,0,0,,0,0,0,0,
